,year,pc,type,score,province
407,2017,本科二批,文科,389,河南
408,2017,本科二批,理科,342,河南
409,2017,本科二批,文科,406,湖北
410,2017,本科二批,理科,345,湖北
411,2017,本科二批,文科,485,湖南
412,2017,本科二批,理科,424,湖南
413,2017,本科二批,文科,458,甘肃
414,2017,本科二批,理科,408,甘肃
415,2017,本科二批,文科,380,福建
416,2017,本科二批,理科,333,福建
417,2017,本科二批,文科,356,西藏
418,2017,本科二批,理科,316,西藏
419,2017,本科二批,文科,453,贵州
420,2017,本科二批,理科,361,贵州
421,2017,本科二批,文科,428,辽宁
422,2017,本科二批,理科,350,辽宁
423,2017,本科二批,文科,436,重庆
424,2017,本科二批,理科,395,重庆
425,2017,本科二批,文科,457,陕西
426,2017,本科二批,理科,397,陕西
427,2017,本科二批,文科,421,青海
428,2017,本科二批,理科,356,青海
429,2017,本科二批,文科,400,黑龙江
430,2017,本科二批,理科,335,黑龙江
