,sname,location,url,type,membership,website,nature,feature
56,中国政法大学, 北京,http://college.gaokao.com/school/56/, 政法, 教育部, www.cupl.edu.cn, 本科,211-985
57,华北电力大学, 北京,http://college.gaokao.com/school/57/, 工科, 教育部, www.ncepu.edu.cn, 本科,211
58,华北电力大学, 河北,http://college.gaokao.com/school/58/, 工科, ——, http://net.ncepu.edu.cn/, 本科,985
59,河北工业大学, 天津,http://college.gaokao.com/school/59/, 工科, 河北省教育厅, www.hebut.edu.cn, 本科,211-985
60,太原理工大学, 山西,http://college.gaokao.com/school/60/, 工科, 山西省教育厅, www.tyut.edu.cn, 本科,211
61,内蒙古大学, 内蒙古,http://college.gaokao.com/school/61/, 综合, 内蒙古自治区教育厅, zhaosheng.imu.edu.cn, 本科,985
62,辽宁大学, 辽宁,http://college.gaokao.com/school/62/, 综合, 辽宁省教育厅, http://www.lnu.edu.cn, 本科,211-985
63,大连海事大学, 辽宁,http://college.gaokao.com/school/63/, 工科, 交通运输部, http://www.dlmu.edu.cn, 本科,211
64,延边大学, 吉林,http://college.gaokao.com/school/64/, 综合, 吉林省教育厅, http://zsb.ybu.edu.cn, 本科,985
65,东北师范大学, 吉林,http://college.gaokao.com/school/65/, 师范, 教育部, http://www.nenu.edu.cn/, 本科,211-985
66,哈尔滨工程大, 黑龙江,http://college.gaokao.com/school/66/, 工科, 工业与信息化部, http://www.hrbeu.edu.cn, 本科,211
67,东北林业大学, 黑龙江,http://college.gaokao.com/school/67/, 林业, 教育部, http://www.nefu.edu.cn, 本科,985
68,华东理工大学, 上海,http://college.gaokao.com/school/68/, 工科, 教育部, http://www.ecust.edu.cn/, 本科,211-985
69,东华大学, 上海,http://college.gaokao.com/school/69/, 工科, 教育部, http://www.dhu.edu.cn, 本科,211
70,上海中医药大, 上海,http://college.gaokao.com/school/70/, 医药, 上海市教育委员会, www.shutcm.com, 本科,985
71,上海外国语大, 上海,http://college.gaokao.com/school/71/, 语言, 教育部, http://www.shisu.edu.cn, 本科,211-985
72,上海财经大学, 上海,http://college.gaokao.com/school/72/, 财经, 教育部, http://www.shufe.edu.cn/structure/index.html, 本科,211
73,苏州大学, 江苏,http://college.gaokao.com/school/73/, 综合, 江苏省教育厅, http://www.suda.edu.cn, 本科,985
74,南京航空航天, 江苏,http://college.gaokao.com/school/74/, 工科, 工业与信息化部, http://www.nuaa.edu.cn, 本科,211-985
75,南京理工大学, 江苏,http://college.gaokao.com/school/75/, 工科, 工业与信息化部, http://www.njust.edu.cn/, 本科,211
76,北京外国语大, 北京,http://college.gaokao.com/school/51/, 语言, 教育部, www.bfsu.edu.cn, 本科,211
77,中央财经大学, 北京,http://college.gaokao.com/school/52/, 财经, 教育部, www.cufe.edu.cn, 本科,211
78,对外经济贸易, 北京,http://college.gaokao.com/school/53/, 财经, 教育部, zhaosheng.uibe.edu.cn, 本科,211
79,北京体育大学, 北京,http://college.gaokao.com/school/54/, 体育, 国家体育总局, www.bsu.edu.cn, 本科,211
80,中央音乐学院, 北京,http://college.gaokao.com/school/55/, 艺术, 教育部, www.ccom.edu.cn, 本科,211
81,中国政法大学, 北京,http://college.gaokao.com/school/56/, 政法, 教育部, www.cupl.edu.cn, 本科,211
82,华北电力大学, 北京,http://college.gaokao.com/school/57/, 工科, 教育部, www.ncepu.edu.cn, 本科,211
83,华北电力大学, 河北,http://college.gaokao.com/school/58/, 工科, ——, http://net.ncepu.edu.cn/, 本科,211
84,河北工业大学, 天津,http://college.gaokao.com/school/59/, 工科, 河北省教育厅, www.hebut.edu.cn, 本科,211
85,太原理工大学, 山西,http://college.gaokao.com/school/60/, 工科, 山西省教育厅, www.tyut.edu.cn, 本科,211
86,内蒙古大学, 内蒙古,http://college.gaokao.com/school/61/, 综合, 内蒙古自治区教育厅, zhaosheng.imu.edu.cn, 本科,211
87,辽宁大学, 辽宁,http://college.gaokao.com/school/62/, 综合, 辽宁省教育厅, http://www.lnu.edu.cn, 本科,211
88,大连海事大学, 辽宁,http://college.gaokao.com/school/63/, 工科, 交通运输部, http://www.dlmu.edu.cn, 本科,211
89,延边大学, 吉林,http://college.gaokao.com/school/64/, 综合, 吉林省教育厅, http://zsb.ybu.edu.cn, 本科,211
90,东北师范大学, 吉林,http://college.gaokao.com/school/65/, 师范, 教育部, http://www.nenu.edu.cn/, 本科,211
91,哈尔滨工程大, 黑龙江,http://college.gaokao.com/school/66/, 工科, 工业与信息化部, http://www.hrbeu.edu.cn, 本科,211
92,东北林业大学, 黑龙江,http://college.gaokao.com/school/67/, 林业, 教育部, http://www.nefu.edu.cn, 本科,211
93,华东理工大学, 上海,http://college.gaokao.com/school/68/, 工科, 教育部, http://www.ecust.edu.cn/, 本科,211
94,东华大学, 上海,http://college.gaokao.com/school/69/, 工科, 教育部, http://www.dhu.edu.cn, 本科,211
95,上海中医药大, 上海,http://college.gaokao.com/school/70/, 医药, 上海市教育委员会, www.shutcm.com, 本科,——
96,上海外国语大, 上海,http://college.gaokao.com/school/71/, 语言, 教育部, http://www.shisu.edu.cn, 本科,211
97,上海财经大学, 上海,http://college.gaokao.com/school/72/, 财经, 教育部, http://www.shufe.edu.cn/structure/index.html, 本科,211
98,苏州大学, 江苏,http://college.gaokao.com/school/73/, 综合, 江苏省教育厅, http://www.suda.edu.cn, 本科,211
99,南京航空航天, 江苏,http://college.gaokao.com/school/74/, 工科, 工业与信息化部, http://www.nuaa.edu.cn, 本科,211
100,南京理工大学, 江苏,http://college.gaokao.com/school/75/, 工科, 工业与信息化部, http://www.njust.edu.cn/, 本科,211
101,河海大学, 江苏,http://college.gaokao.com/school/76/, 工科, 教育部, www.hhu.edu.cn, 本科,211
102,江南大学, 江苏,http://college.gaokao.com/school/77/, 综合, 教育部, www.jiangnan.edu.cn, 本科,211
103,南京农业大学, 江苏,http://college.gaokao.com/school/78/, 农业, 教育部, www.njau.edu.cn, 本科,211
