,sname,location,url,type,membership,website,nature
1814,山东协和职业, 山东,http://college.gaokao.com/school/1648/, 医药, ——, www.sdxiehe.edu.cn, 高职专科
1815,山东外事翻译, 山东,http://college.gaokao.com/school/1649/, 综合, 山东省教育厅, www.wsfy.cn, 高职专科
1816,山东杏林科技, 山东,http://college.gaokao.com/school/1650/, 综合, 山东省教育厅, www.sdxlxy.com, 高职专科
1817,郑州交通职业, 河南,http://college.gaokao.com/school/1651/, 工科, 河南省教育厅, www.zjtu.edu.cn, 高职专科
1818,郑州电子信息, 河南,http://college.gaokao.com/school/1652/, 工科, 河南省教育厅, www.zyfb.com, 高职专科
1819,嵩山少林武术, ------,http://college.gaokao.com/school/1653/, 体育, 河南省教育厅, www.shaolinkungfu.edu.cn, 高职专科
1820,郑州电力职业, 河南,http://college.gaokao.com/school/1654/, 工科, 河南省教育厅, http://www.zzdl.com, 高职专科
1821,商丘科技职业, ------,http://college.gaokao.com/school/1655/, 工科, ——, ——, 高职专科
1822,武汉工贸职业, 湖北,http://college.gaokao.com/school/1656/, 工科, 湖北省教育厅, http://whitvc.zsxx.e21.edu.cn, 高职专科
1823,黄冈科技职业, ------,http://college.gaokao.com/school/1657/, 工科, 湖北省教育厅, www.hbhgkj.com, 高职专科
1824,武汉语言文化, 湖北,http://college.gaokao.com/school/1658/, 工科, 湖北省教育厅, www.wlci.com.cn, 高职专科
1825,湖北科技职业, 湖北,http://college.gaokao.com/school/1659/, 工科, ——, www.hubstc.com.cn, 高职专科
1826,湖南科技经贸, 湖南,http://college.gaokao.com/school/1660/, 财经, 湖南省教育厅, www.hnkjjm.com, 高职专科
1827,湖南九嶷职业, 湖南,http://college.gaokao.com/school/1661/, 综合, 湖南省教育厅, www.4744edu.com, 高职专科
1828,湖南都市职业, 湖南,http://college.gaokao.com/school/1662/, 工科, ——, www.hnupc.com, 高职专科
1829,湖南软件职业, 湖南,http://college.gaokao.com/school/1663/, 工科, ——, www.hnsoftedu.com, 高职专科
1830,长沙南方职业, 湖南,http://college.gaokao.com/school/1664/, 综合, ——, www.nfdx.net, 高职专科
1831,潇湘职业学院, ------,http://college.gaokao.com/school/1665/, 综合, 湖南省教育厅, www.hnxxc.com, 高职专科
1832,湖南外国语职, 湖南,http://college.gaokao.com/school/1666/, 语言, 湖南省教育厅, www.hnflc.cn, 高职专科
1833,湖南同德职业, 湖南,http://college.gaokao.com/school/1667/, 综合, 湖南省教育厅, www.tongde.com, 高职专科
1834,长沙社会安全, 湖南,http://college.gaokao.com/school/1668/, ------, ——, ——, 高职专科
1835,湖南电子科技, 湖南,http://college.gaokao.com/school/1669/, 工科, ——, www.8379888.com, 高职专科
1836,湖南信息科学, 湖南,http://college.gaokao.com/school/1670/, 工科, 湖南省教育厅, www.hnisc.com, 高职专科
1837,民办南华工商, ------,http://college.gaokao.com/school/1671/, 财经, ——, www.nhic.edu.cn, 高职专科
1838,肇庆科技职业, ------,http://college.gaokao.com/school/1672/, 工科, 广东省教育厅, www.zqkjxy.com, 高职专科
1839,东莞南博职业, ------,http://college.gaokao.com/school/1673/, 综合, ——, ——, 高职专科
1840,惠州经济职业, ------,http://college.gaokao.com/school/1674/, 财经, 广东省教育厅, ——, 高职专科
1841,广州科技职业, 广东,http://college.gaokao.com/school/1675/, 综合, 广东省教育厅, www.gzkjxy.net, 高职专科
1842,广州工商职业, 广东,http://college.gaokao.com/school/1676/, 综合, 广东省教育厅, www.gzgs.org.cn, 高职专科
1843,广州珠江职业, 广东,http://college.gaokao.com/school/1677/, 工科, ——, www.gzzjedu.cn, 高职专科
1844,广州松田职业, 广东,http://college.gaokao.com/school/1678/, 综合, ——, www.sontanedu.cn, 高职专科
1845,湛江现代科技, ------,http://college.gaokao.com/school/1679/, 综合, 广东省教育厅, ——, 高职专科
1846,广州涉外经济, 广东,http://college.gaokao.com/school/1680/, 综合, 广东省教育厅, www.gziec.net, 高职专科
1847,广州城建职业, 广东,http://college.gaokao.com/school/1681/, 工科, ——, www.gzccc.edu.cn, 高职专科
